,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breeder_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breeder_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breeder_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breeder_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breeder_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breeder_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
65,76946.6667,78370,48403.3333,77036.6667,78566.6667,52713.3333,54770,76556.6667,79080,79846.6667,51130,79100,79533.3333,46710,49976.6667,79506.6667,79286.6667,79793.3333,49206.6667,78976.6667,79653.3333,40940,48066.6667,78523.3333
66,76946.6667,78370,48403.3333,77036.6667,78566.6667,52713.3333,54903.3333,76556.6667,79080,79846.6667,51343.3333,79113.3333,79533.3333,46793.3333,50176.6667,79536.6667,79316.6667,79793.3333,49660,78983.3333,79676.6667,41066.6667,48176.6667,78526.6667
67,76946.6667,78370,48510,77036.6667,78566.6667,52713.3333,54996.6667,76556.6667,79080,79846.6667,51543.3333,79126.6667,79533.3333,46860,50430,79560,79323.3333,79793.3333,49693.3333,79000,79676.6667,41190,48320,78576.6667
68,76946.6667,78370,48520,77036.6667,78566.6667,52723.3333,55133.3333,76556.6667,79086.6667,79846.6667,51613.3333,79166.6667,79533.3333,47063.3333,50536.6667,79576.6667,79346.6667,79793.3333,49760,79036.6667,79676.6667,41210,48873.3333,78603.3333
69,76946.6667,78370,48530,77036.6667,78566.6667,52723.3333,55143.3333,76556.6667,79086.6667,79846.6667,51673.3333,79173.3333,79533.3333,47166.6667,50756.6667,79580,79356.6667,79793.3333,49800,79036.6667,79676.6667,41323.3333,48903.3333,78610
70,76946.6667,78370,48530,77036.6667,78566.6667,52723.3333,55346.6667,76556.6667,79086.6667,79846.6667,51690,79193.3333,79533.3333,47190,51010,79620,79363.3333,79793.3333,50153.3333,79083.3333,79683.3333,41390,49366.6667,78630
71,76946.6667,78370,48530,77036.6667,78566.6667,52723.3333,55403.3333,76556.6667,79093.3333,79846.6667,51826.6667,79216.6667,79533.3333,47236.6667,51160,79630,79376.6667,79793.3333,50413.3333,79123.3333,79683.3333,41440,49666.6667,78670
72,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,55456.6667,76556.6667,79103.3333,79846.6667,52106.6667,79230,79533.3333,47246.6667,51210,79643.3333,79403.3333,79793.3333,50536.6667,79123.3333,79683.3333,41756.6667,49856.6667,78670
73,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,55513.3333,76556.6667,79110,79846.6667,52190,79230,79533.3333,47346.6667,51406.6667,79693.3333,79410,79793.3333,50960,79156.6667,79696.6667,41756.6667,49913.3333,78710
74,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,55616.6667,76556.6667,79116.6667,79846.6667,52193.3333,79230,79533.3333,47606.6667,51530,79706.6667,79426.6667,79793.3333,51136.6667,79176.6667,79696.6667,41953.3333,50143.3333,78726.6667
75,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,55720,76556.6667,79116.6667,79846.6667,52370,79246.6667,79533.3333,47606.6667,51816.6667,79720,79426.6667,79793.3333,51280,79183.3333,79696.6667,41953.3333,50143.3333,78830
76,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,55910,76556.6667,79116.6667,79846.6667,52473.3333,79246.6667,79533.3333,47606.6667,51903.3333,79726.6667,79466.6667,79793.3333,51486.6667,79183.3333,79696.6667,42023.3333,50170,78873.3333
77,76946.6667,78370,48530,77043.3333,78566.6667,52723.3333,56030,76556.6667,79116.6667,79846.6667,52816.6667,79246.6667,79533.3333,47730,52260,79743.3333,79473.3333,79793.3333,51566.6667,79193.3333,79696.6667,42256.6667,50376.6667,78886.6667
78,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56060,76556.6667,79130,79846.6667,52880,79246.6667,79533.3333,47816.6667,52380,79746.6667,79486.6667,79793.3333,51690,79250,79706.6667,42500,50476.6667,78966.6667
79,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56200,76556.6667,79130,79846.6667,53046.6667,79246.6667,79533.3333,47883.3333,52586.6667,79770,79496.6667,79793.3333,52130,79290,79706.6667,42566.6667,50476.6667,78983.3333
80,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56363.3333,76556.6667,79133.3333,79846.6667,53303.3333,79250,79533.3333,47973.3333,52726.6667,79776.6667,79516.6667,79793.3333,52266.6667,79326.6667,79706.6667,42566.6667,50676.6667,79000
